id,make_name,model_id,name
thomasfleet.escalade_esv_cadillac_base,Cadillac,Escalade ESV,Base
thomasfleet.e-350_club_wagon_ford_xl,Ford,E-350 Club Wagon,XL
thomasfleet.4300_international_dump_truck,International,4300,Dump Truck
thomasfleet.f-150_ford_lariat,Ford,F-150,Lariat
thomasfleet.f-550_super_duty_ford_base,Ford,F-550 Super Duty,Base
thomasfleet.focus_ford_se,Ford,Focus,SE
thomasfleet.focus_ford_s,Ford,Focus,S
thomasfleet.focus_ford_zx5,Ford,Focus,ZX5
thomasfleet.f-150_ford_platinum,Ford,F-150,Platinum
thomasfleet.focus_ford_ses,Ford,Focus,SES
thomasfleet.tbd_autocar_/_volvo_dyno_/_roll_off,Autocar / Volvo,Dyno / Roll Off
thomasfleet.f-700_ford_base,Ford,F-700,Base
thomasfleet.f-150_ford_regular_cab,Ford,F-150,Regular Cab
thomasfleet.f-350_super_duty_ford_fx4,Ford,F-350 Super Duty,FX4
thomasfleet.4900_international_boom_truck,International,4900,Boom Truck
thomasfleet.5864ss_wstrn_tractor,Wstrn,5864Ss,Tractor
thomasfleet.f-450_ford_chassis_cab_w/plate_ramp,Ford,F-450,Chassis Cab W/Plate Ramp
thomasfleet.7400_international_base,International,7400,Base
thomasfleet.f-250_4x2_ford_regular_cab,Ford,F-250 4X2,Regular Cab
thomasfleet.625_international_boom_truck,International,625,Boom Truck
thomasfleet.tractor_wstrn_4900_sa,Wstrn,Tractor,4900 SA
thomasfleet.f-150_4x2_ford_regular_cab,Ford,F-150 4X2,Regular Cab
thomasfleet.7400_international_drip_truck,International,7400,Drip Truck
thomasfleet.4300_international_sample_truck/boom_with_flat_deck,International,4300,Sample Truck/Boom with Flat Deck
thomasfleet.f-150_4x2_ford_crew_cab,Ford,F-150 4X2,Crew Cab
thomasfleet.f-250_ford_regular_cab,Ford,F-250,Regular Cab
thomasfleet.f-350_ford_crew_cab,Ford,F-350,Crew Cab
thomasfleet.expedition_ford_eddie_bauer,Ford,Expedition,Eddie Bauer
thomasfleet.f-150_ford_fx2,Ford,F-150,FX2
thomasfleet.expedition_ford_xl,Ford,Expedition,XL
thomasfleet.f-150_4x4_ford_crew_cab,Ford,F-150 4X4,Crew Cab
thomasfleet.f-250_4x4_ford_crew_cab,Ford,F-250 4X4,Crew Cab
thomasfleet.transit_connect_ford_xlt,Ford,Transit Connect,XLT
thomasfleet.f-150_ford_harley-davidson_edition,Ford,F-150,Harley-Davidson Edition
thomasfleet.m2_106_straight_truck_freightliner_,Freightliner,M2 106 Straight Truck,
thomasfleet.sierra_3500_hd_gmc_base,GMC,Sierra 3500 HD,Base
thomasfleet.workstar_7600_international_base,International,WorkStar 7600,Base
thomasfleet.cascadia_freightliner_,Freightliner,Cascadia,
thomasfleet.4400_sba_international_tandem_axle_flatbed_6x4,International,4400 SBA,TANDEM AXLE FLATBED 6x4
thomasfleet.4400_sba_tandem_axle_flatbed_international_,International,4400 SBA TANDEM AXLE FLATBED,
thomasfleet.m2_106_cab_&_chassis_freightliner_,Freightliner,M2 106 CAB & CHASSIS,
thomasfleet.thomas_large_bus_freightliner_fs65,Freightliner,Thomas Large Bus,FS65
thomasfleet.bluebird_large_bus_international_,International,International BLUEBIRD LARGE BUS,
thomasfleet.bluebird_international_bus_3800,International,International BLUEBIRD,Bus 3800
thomasfleet.thomas_large_bus_freightliner_,Freightliner,Thomas Large Bus,
thomasfleet.savana_3500_gmc_base,GMC,Savana 3500,Base
thomasfleet.7hbw23_toyota_pallet_truck,Toyota,7HBW23,Pallet Truck
thomasfleet.m2_freightliner_26__straight_truck,Freightliner,M2,26' Straight Truck
thomasfleet.bluebird_gmc_,GMC,GMC BLUEBIRD,
thomasfleet.8hbw23_toyota_pallet_truck,Toyota,8HBW23,Pallet Truck
thomasfleet.fusion_ford_sel,Ford,Fusion,SEL
thomasfleet.e-350_hr_transit_van_ford_,Ford,E-350 HR Transit Van,
thomasfleet.expedition_ford_max_limited,Ford,Expedition,Max Limited
thomasfleet.transit_ford_,Ford,Ford Transit,
thomasfleet.explorer_ford_limited,Ford,Explorer,Limited
thomasfleet.transit_ford_350_hr,Ford,Ford Transit,350 HR
thomasfleet.escape_ford_sel,Ford,Escape,SEL
thomasfleet.transit-350_ford_xl,Ford,Transit-350,XL
thomasfleet.f-150_ford_king_ranch,Ford,F-150,King Ranch
thomasfleet.cxn613_vision_mack_,Mack,CXN613 VISION,
thomasfleet.transit-350_ford_base,Ford,Transit-350,Base
thomasfleet.escalade_esv_cadillac_luxury,Cadillac,Escalade ESV,Luxury
thomasfleet.yukon_gmc_denali,GMC,Yukon,Denali
thomasfleet.350_hr_transit_van_ford_xl,Ford,350 HR Transit Van,XL
thomasfleet.explorer_ford_platinum,Ford,Explorer,Platinum
